<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACB,20260313,10.34,10.34,10.34,10.34,100000
AACBR,20260313,0.3862,0.3999,0.3862,0.39,23300
AACG,20260313,0.97,1.06,0.97,0.99,10100
AACIU,20260313,9.98,9.98,9.98,9.98,600
AACOU,20260313,9.93,9.94,9.93,9.94,16000
AADR,20260313,83.97,84.19,82.46,82.46,1100
AAEQ,20260313,47.29,47.29,47.2883,47.2883,1000
AAL,20260313,10.6,10.65,10.26,10.3,106227000
AALG,20260313,7.78,7.895,7.37,7.4166,97900
AAME,20260313,2.6,2.79,2.57,2.77,16200
AAOI,20260313,104.37,105.385,94.15,96.81,14962100
AAON,20260313,88.78,89,83.43,83.9,769100
AAPB,20260313,27.555,27.72,26.36,26.4271,86600
AAPD,20260313,13.92,14.2397,13.89,14.2173,14592900
AAPG,20260313,23.74,24.4299,22.7,24.4299,2300
AAPL,20260313,255.48,256.33,249.52,250.12,36929900
AAPU,20260313,28.79,28.99,27.53,27.6,1901600
AARD,20260313,5.3,5.365,4.83,5.09,266300
AAUS,20260313,53.38,53.38,53.2899,53.2899,500
AAVM,20260313,31.43,31.43,30.92,30.92,200
AAXJ,20260313,99.08,99.58,97.34,97.52,1215400
ABAT,20260313,3.46,3.54,3.2801,3.32,4901500
ABCL,20260313,3.52,3.655,3.43,3.49,2067000
ABCS,20260313,29.7756,29.7756,29.535,29.535,2300
ABEO,20260313,4.92,5.02,4.73,4.76,1060000
ABI,20260313,24.86,24.86,24.86,24.86,100
ABIG,20260313,30.09,30.09,29.8124,29.8124,300
ABLV,20260313,0.67,0.69,0.65,0.69,1300
ABNB,20260313,127.23,129.47,125.62,126.3,3001000
ABNG,20260313,14.9,14.9677,14.82,14.9677,300
ABOS,20260313,3.27,3.35,2.98,3.27,393500
ABSI,20260313,2.32,2.43,2.31,2.39,2502100
ABTC,20260313,1.1,1.1,1.02,1.04,24229300
ABTS,20260313,2.85,2.85,2.7,2.76,6300
ABUS,20260313,4.35,4.395,4.24,4.26,1496600
ABVC,20260313,1.39,1.4279,1.22,1.27,53400
ABVE,20260313,1.27,1.275,1.1,1.16,1153000
ABVEW,20260313,0.34,0.41,0.34,0.4099,5700
ABVX,20260313,117.38,121.29,114.67,115.5,701900
ACAAU,20260313,10.09,10.09,10.08,10.09,9700
ACAD,20260313,21.41,21.57,20.54,20.61,1553200
ACB,20260313,3.56,3.58,3.405,3.43,514400
ACCL,20260313,1.51,1.56,1.51,1.52,19600
ACDC,20260313,6.89,6.89,5.96,6.35,2755900
ACEP,20260313,17.27,17.27,17.1104,17.1104,300
ACET,20260313,6.98,7.69,6.98,7.21,146300
ACFN,20260313,19.4,20.55,18.96,19.04,22500
ACGL,20260313,95.14,95.43,93.46,93.47,1191100
ACGLN,20260313,17.02,17.085,16.86,16.94,60000
ACGLO,20260313,20.19,20.27,20.11,20.2,36700
ACHC,20260313,24.15,24.46,23.47,23.52,2770700
ACHV,20260313,4.18,4.2499,4.05,4.17,362200
ACIC,20260313,11.32,11.4077,11.19,11.31,110800
ACIU,20260313,2.96,3.22,2.96,3.015,255600
ACIW,20260313,40.63,41.47,39.51,39.77,535500
ACLS,20260313,82.5,86,81.93,83.19,829100
ACLX,20260313,114.43,114.455,114.325,114.39,818300
ACMR,20260313,45.6,47.1979,45.345,46.38,923100
ACNB,20260313,46.85,46.85,45.97,46.48,31900
ACNT,20260313,12.92,13.17,12.59,12.79,220800
ACOG,20260313,5.89,6.14,5.68,5.75,27000
ACON,20260313,3.4,3.4244,3.28,3.33,40500
